index, job_title, salary_estimate, job_description, rating, company_name, location, size, founded, type_of_ownership, industry, sector, revenue, skills, company_age
NA,Research Data Analyst II (JC-426945),$48K - $70K (Glassdoor est.),NA,3.8,Caltrans - CA Dept. of Transportation,"San Diego, CA",10000+ Employees,1970,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Vegetation and Water Management Program work to be converted to GIS data includes Maintenance field activities reported in Integrated Maintenance Management……
Skills: GIS",NA
NA,Senior Risk Analyst (Data Analytics),$62K - $93K (Glassdoor est.),NA,5.0,AIG,"New York, NY",10000+ Employees,1919,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"In addition to the ability to work with databases and systems, the successful candidate will be required to develop a deep understanding of Aladdin as it……
Skills: Power BI, SQL, Analysis skills, Communication skills, Python",NA
NA,Sr. Digital Insight Analyst,$66K - $132K (Employer est.),NA,4.0,"7-Eleven, Inc.","Irving, TX",10000+ Employees,1927,Company - Private,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),"DUTIES: Develop visualization dashboards in Power BI to track various key performance metrics to monitor the program health and analyze data trends to provide……
Skills: Power BI, Microsoft Excel, Spark, Alteryx, SQL",NA
NA,Mid-Level Data Analyst,$90K - $121K (Glassdoor est.),NA,3.8,Mayvin Inc,"Arlington, VA",201 to 500 Employees,2008,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),"Bachelor's Degree in Computer Science, Math, Statistics, or a related field. Provide technical support and troubleshooting for SharePoint users.…
Skills: Power BI, Microsoft Excel, Azure, SQL, SharePoint",NA
NA,Senior Business Analyst,$73K - $91K (Employer est.),NA,4.1,Ascensus,Remote,5001 to 10000 Employees,1980,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,"Brings technical product knowledge to strategic business conversations. Continually enhances own domain knowledge of systems, products, and industry.…
Skills: Kanban, Writing skills, Microsoft Office, SQL, Analysis skills",NA
NA,Data Analyst II,$105K (Employer est.),NA,2.4,Health & Human Services Comm,"Austin, TX",10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Graduation from an accredited four-year college or university with major coursework in data science, business analytics, computer science, computer information……
Skills: Writing skills, Data analysis skills, Research, Database management, EMR systems",NA
NA,HRIS Analyst II,$90K - $95K (Employer est.),NA,3.7,Chicago Transit Authority,"Chicago, IL",10000+ Employees,1947,Government,Taxi & Car Services,Transportation & Logistics,$500 million to $1 billion (USD),"Bachelor's degree in Computer Science, Information Systems, Human Resources, or related field, plus three (3) years of experience utilizing an HRIS system,……
Skills: FTP, Microsoft Powerpoint, Computer science, Microsoft Excel, Microsoft Access",NA
NA,Credit Data Analyst II (On-site in Lawrenceville GA),$63K - $102K (Glassdoor est.),NA,3.4,Lendmark Financial Services,"Lawrenceville, GA",1001 to 5000 Employees,1996,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),"The group facilitates consistent and accurate measurement of credit risk primarily by tracking key risk indicators for the portfolios, developing scorecards and……
Skills: Statistics, Microsoft Excel, SAS, R, Financial report writing",NA
NA,Senior Academic Data Analyst,$60K - $103K (Glassdoor est.),NA,4.2,Web Business Solutions,"Suffolk, VA",1 to 50 Employees,--,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,"Evaluates program standards to include design and development of data collection methods, tools, coordination of program activities, data collection, data……
Skills: Microsoft Word, Microsoft Excel, Management, Curriculum development, Writing skills",NA
NA,Data Analyst 2 - 95087,$81K - $108K (Glassdoor est.),NA,3.6,NYS Department of Health,"Albany, NY",1001 to 5000 Employees,--,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD),"Minimum QualificationsNon-competitive: Bachelor’s degree in data or computer science, informatics, economics, statistics, mathematics, or a related field, and……
Skills: Data mining, Business intelligence, Data structures, Tableau, SQL",NA
NA,Senior Business and Data Analyst,$33.57 Per Hour (Employer est.),NA,3.6,Herbal Goodness,"McKinney, TX",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Bachelor's degree in Business, Data Science, Statistics, Computer Science, or a related field; a Master's degree is a plus.…
Skills: Power BI, Microsoft Excel, Data mining, R, Business analysis",NA
NA,"Senior Data Analyst, Digital Marketing",$78K - $124K (Glassdoor est.),NA,4.1,Ramsey Solutions,"Nashville, TN",1001 to 5000 Employees,1991,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD),"Ability to clearly communicate with both technical and non-technical stakeholders. Perform statistical analysis of data to predict trends in the customer base……
Skills: Web analytics, R, Tableau, SQL, Scripting",NA
NA,Title III Data Analyst,$91K - $125K (Glassdoor est.),NA,4.3,Rhodes State College,"Lima, OH",201 to 500 Employees,1967,College / University,Colleges & Universities,Education,$25 to $100 million (USD),"Bachelor’s degree in computer science, business administration, social sciences, or related field. Experience with the collection, analysis, and dissemination……
Skills: Microsoft Excel, Data mining, Management, Relational databases, Writing skills",NA
NA,Principal Business Intelligence Analyst,$5K - $6K (Employer est.),NA,2.4,Gen Digital,"Tempe, AZ",1001 to 5000 Employees,--,Company - Public,Software Development,Information Technology,$1 to $5 billion (USD),"Hands-on experience in principled data warehouse design, data visualization, and data pipeline design and development.…
Skills: Statistics, Computer science, Power BI, Git, Google Cloud Platform",NA
NA,DATA PROCESSING SYSTEMS ANALYST IV (SR-26),$87K - $126K (Glassdoor est.),NA,4.1,"City and County of Honolulu, HI",Oahu Island,5001 to 10000 Employees,--,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,"A Data Processing Systems Analyst IV supervises and participates in the design and development of major, overall systems for electronic processing, involving……
Skills: Analysis skills, Supervising experience, Computer skills",NA
NA,Senior Data Analyst,$77K - $101K (Glassdoor est.),NA,3.5,Drexel University,"Philadelphia, PA",1001 to 5000 Employees,1891,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),"Master's Degree or Equivalent in Statistics, Biostatistics, Epidemiology, or related quantitative field. The position requires a detail-oriented and organized……
Skills: Statistical software, Spanish, SAS, R, English",NA
NA,Associate Data Analyst,$65K - $83K (Glassdoor est.),NA,4.1,"Continental Resources, Inc.","Oklahoma City, OK",1001 to 5000 Employees,1967,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,"This role will also have the opportunity to learn and develop data and analytics skills to contribute on more advanced projects. High school Diploma or GED.…
Skills: Data modeling, Oil & gas, Computer skills, Communication skills, Analytics",NA
NA,Senior Data Analyst,$57K - $82K (Glassdoor est.),NA,3.6,South Dakota State Government,"Sioux Falls, SD",10000+ Employees,1889,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"A bachelor's or master's degree in a relevant field is preferred. Training in a data analysis field such as Biostatistics, Financial Analysis, Epidemiology,……
Skills: Power BI, SAS, R, Research, Financial analysis",NA
NA,GIS Analyst 2 (Data Analyst),$58K - $67K (Glassdoor est.),NA,3.4,Louisiana State University,"Baton Rouge, LA",1001 to 5000 Employees,--,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),"Position will assess new software and hardware technologies; designs processes and may provide technical guidance for the purpose of technology integration into……
Skills: ArcGIS, JavaScript, SharePoint, APIs, IT",NA
NA,Data Analyst Medicare Senior,$68K - $102K (Employer est.),NA,3.9,Arkansas Blue Cross and Blue Shield,Remote,1001 to 5000 Employees,1948,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),"Advanced Excel user, proficient with SAS/SQL – capable of creating queries, and able to assist with developing junior analytical colleagues., Collects data to……
Skills: Microsoft Powerpoint, Microsoft Word, Statistics, Power BI, Microsoft Excel",NA
NA,Senior Data Analyst – Supply Chain,$81K - $106K (Glassdoor est.),NA,3.5,Advancio,Remote,51 to 200 Employees,--,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"In some instances, projects will require expertise to derive their own project requirements and expand the analyses into deeper learnings.…
Skills: Power BI, Azure, R, SQL, Scala",NA
NA,Senior Data Governance Analyst,$77K - $116K (Employer est.),NA,3.8,Clayton Careers,"Maryville, TN",10000+ Employees,1956,Company - Private,Real Estate,Real Estate,$1 to $5 billion (USD),"Rolling out a framework to focus on the improvement of data quality and the protection of sensitive data through modifications to organization behavior policies……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Business intelligence, Relational databases",NA
NA,Associate Business Analyst,$68K - $88K (Glassdoor est.),NA,4.4,LiveRamp,Remote,1001 to 5000 Employees,2005,Company - Public,Software Development,Information Technology,$100 to $500 million (USD),"Bachelor's degree in a relevant field (e.g., Computer Science, Statistics, Mathematics). Contribute to the enhancement of existing data infrastructure and……
Skills: Statistics, Data structures, Tableau, SQL, Analysis skills",NA
NA,"IT Product Owner, Sr. Product Analyst - Data Platforms",$75K - $108K (Employer est.),NA,3.8,Salesforce,"Dallas, TX",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Responsible for keeping engineering team as efficient and productive as possible by constantly maintaining a highly organized, well-groomed backlog of work……
Skills: Relational databases, Salesforce, Data analysis skills, Tableau, SQL",NA
NA,Business Analyst II,$62K - $95K (Employer est.),NA,3.5,Virginia Mason Medical Center,"Seattle, WA",10000+ Employees,1920,Hospital,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),"Bachelor's degree in business, information systems, or a related field; or equivalent. Consults with internal and external system users (e.g., vendors, VM staff……
Skills: Oracle, System design, Microsoft Office, Project management, Organizational skills",NA
NA,"Sr Analyst, Compliance Data & Analytics",$70K - $90K (Glassdoor est.),NA,2.6,DAVITA,"Denver, CO",10000+ Employees,1994,Company - Public,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),"Gather requirements from key stakeholders, design, develop, and deliver solutions (reporting, dashboards, process, analysis, etc.).…
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Business analysis",NA
NA,Data Analyst 3,$84K - $122K (Glassdoor est.),NA,3.2,University of New Orleans,"Baton Rouge, LA",1001 to 5000 Employees,1958,College / University,Colleges & Universities,Education,$100 to $500 million (USD),"Bachelor’s degree in computer science or related field which emphasized statistics, sampling or data analytics. Provides actionable direction to new vendors.…
Skills: Statistics, SAS, R, SQL, Analysis skills",NA
NA,Financial Data Associate,$5K - $7K (Employer est.),NA,3.8,Clearwater Analytics,"Boise, ID",1001 to 5000 Employees,2004,Company - Public,Investment & Asset Management,Financial Services,$100 to $500 million (USD),"Bachelor’s or master's degree in Business-related field. As content experts, FDAs advise internal and external constituents on the proper handling of critical……
Skills: Microsoft Excel, Microsoft Office, SQL, Computer skills, Communication skills",NA
NA,Sr. Data Analyst,$79K - $87K (Employer est.),NA,4.5,Comcast Corporation,"Philadelphia, PA",NA,NA,NA,NA,NA,NA,"Responsible for working cross-functionally to collect data and develop models to determine trends utilizing a variety of data sources.…
Skills: Oracle, Microsoft SQL Server, SQL, Teradata, Hadoop",NA
NA,Business Analyst 5,$80K (Employer est.),NA,4.2,EGROVE SYSTEMS CORPORATION,"Lansing, MI",51 to 200 Employees,--,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"Writes detailed description of user needs, program functions, and steps required to develop or modify computer programs.…
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Relational databases, Program development",NA
NA,Clinical Data Management Analyst II,$71K - $112K (Glassdoor est.),NA,4.2,Abbott Laboratories,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"Education and work experience in computer science, life sciences or technical field. Tuition reimbursement, the Freedom 2 Save student debt program and FreeU……
Skills: Computer science, Data management, Clinical trials, Data collection",NA
NA,Senior Data Analyst,$73K - $113K (Glassdoor est.),NA,3.8,Rocket Mortgage,"Detroit, MI",10000+ Employees,1985,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"Bachelor’s degree or equivalent experience in a scientific discipline, mathematics, applied statistics, information technology or a related field.…
Skills: Data mining, Business intelligence, SAS, Big data, R",NA
NA,Senior Agile Business Analyst,$66K - $91K (Glassdoor est.),NA,3.4,Municipal Credit Union,United States,501 to 1000 Employees,1916,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),"Identify, create, and facilitate process design changes by conducting business and systems process analysis and design at a complex level; focusing on quality……
Skills: Business analysis, Microsoft Office, Mentoring, Smartsheet, Agile",NA
NA,"Sr Data Analyst, Customer Analytics",$86K - $126K (Glassdoor est.),NA,4.6,Neiman Marcus,"New York, NY",10000+ Employees,1907,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,"Note: This role requires a self-driven individual comfortable with independent work in a remote setting, capable of making decisions, independent problem……
Skills: Customer service, Data analysis skills, Tableau, SQL, Predictive analytics",NA
NA,Senior Data Analyst,$83K - $126K (Glassdoor est.),NA,4.2,AKYTECH CONSULTING LLC,"Falls Church, VA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Bachelor’s Degree level degree in Statistics, Analytics, or related field. Experience developing analytical dashboards within Army MEDCOM environments……
Skills: Power BI, Enterprise software, DoD experience, Tableau, White papers",NA
NA,G228SA1 - Associate Data Analyst - Cleared,$64K - $96K (Employer est.),NA,2.1,NiSUS Technologies Corporation,"Annapolis Junction, MD",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"Applies mathematical calculations to recommend solutions to technical problems of high complexity. Analyzes organizational data and conducts advanced……
Skills: C++, C, JavaScript, Communication skills, Python",NA
NA,"Sr. Data Analyst (Full-time, Remote)",$90K - $110K (Employer est.),NA,3.3,"Integrity Management Services, Inc.","Alexandria, VA",NA,NA,NA,NA,NA,NA,"Minimum 4-year degree in statistics, mathematics, computer science or related field or possesses a minimum of 6 years of data analysis experience within the……
Skills: Microsoft Powerpoint, Microsoft Word, Computer science, Microsoft Excel, Microsoft Outlook",NA
NA,"Senior Business Analyst, Data Insights & Analytics",$70K - $90K (Employer est.),NA,3.5,AlixPartners,"Southfield, MI",1001 to 5000 Employees,1981,Company - Private,Business Consulting,Management & Consulting,$1 to $5 billion (USD),"In this role on AlixPartners' Corporate Services team, the Data Insights & Analytics Senior Business Analyst works with the Information Technology (IT) team……
Skills: Enterprise software, System design, English, Microsoft Office, Project management",NA
NA,"Research Data Analyst 2 (6256U), Haas School of Business - 67983",$61K - $98K (Glassdoor est.),NA,3.7,University of California Berkeley,"Berkeley, CA",51 to 200 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"Working skills in statistical analysis, systems programming, database design and data security measures. Collaborates on the design, documentation, testing and……
Skills: MATLAB, Writing skills, Git, Research, Stata",NA
NA,Senior Technical Data Analyst,$73K - $107K (Glassdoor est.),NA,3.6,System1,"Seattle, WA",501 to 1000 Employees,2013,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"Needs a strong background in data analysis and to be able to effectively communicate complex analytical findings to both technical and non-technical audiences,……
Skills: Search engines, Statistics, Power BI, Big data, Spark",NA
NA,Sr Business Analyst - Business Intelligence - Account,$39.11 - $46.07 Per Hour (Employer est.),NA,3.6,Pacific Program Management,"Dallas, TX",51 to 200 Employees,2009,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,"Subject matter expert for Business Intelligence platforms, which may include Office 365 tools, Power BI, Smartsheet, document management repositories, projects……
Skills: Power BI, Business intelligence, Writing skills, Business analysis, Data analysis skills",NA
NA,OCA - Data Analyst III,$66K - $104K (Glassdoor est.),NA,3.1,OFFICE OF COURT ADMINISTRATION,"Austin, TX",Unknown,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Graduation from an accredited four-year college or university with major course work in business or public administration, government, statistics, business……
Skills: Power BI, Microsoft Excel, Customer service, Relational databases, Military",NA
NA,Data Quality Lead Analyst,$39K - $59K (Employer est.),NA,3.5,MFS Investment Management,"Boston, MA",1001 to 5000 Employees,1982,Subsidiary or Business Segment,Investment & Asset Management,Financial Services,$100 to $500 million (USD),"Assess and implement data quality tools to align with organizational needs including data profiling and migration from legacy tools. WHAT WE ARE LOOKING FOR.…
Skills: Investment, Business intelligence, Process improvement, Git, Quality management",NA
NA,Senior Data Analyst I,$100K (Employer est.),NA,4.0,Risk Solutions,"Alpharetta, GA",1 to 50 Employees,2001,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,"Master’s or foreign equivalent degree in Computer Science, Information Systems, Software Engineering, or a related field required.…
Skills: Information management, Python",NA
NA,Financial Analyst II,$67K - $121K (Employer est.),NA,3.7,World Fuel Services,"Miami, FL",NA,NA,NA,NA,NA,NA,"Bachelor’s degree in business administration or related field. The position requires the following technical skills: Strong data analytics and Excel skills.…
Skills: Microsoft Excel, Data analysis skills, Data analytics, Communication skills",NA
NA,Healthcare Data Analyst II,$65K - $75K (Employer est.),NA,3.4,PacificSource Health Plans,"Springfield, OR",1001 to 5000 Employees,1933,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),"Draft and develop reports and analyses to support internal and external business processes, as well as assist in helping the organization in compliance of state……
Skills: Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Microsoft Outlook",NA
NA,"ML Data Associate I, ADS RAMP",$65K - $105K (Glassdoor est.),NA,3.2,Amazon.com Services LLC,"Boston, MA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"Provide support for data collection and project execution. We are hiring Data Associates for our peculiar data team! In this role, you will: A day in the life.…
Skills: Microsoft Office, Organizational skills, Agile, Communication skills",NA
NA,Data Architecture Senior Interface Analyst- Employee Benefits,$73K - $109K (Glassdoor est.),NA,3.4,Equitable,Remote,5001 to 10000 Employees,1859,Company - Public,Insurance Carriers,Insurance,$500 million to $1 billion (USD),"User Acceptance Testing (UAT): Knowledge of UAT activities, tasks, tools and techniques; ability to design, implement and evaluate acceptance tests for end……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Data analysis skills, Financial analysis",NA
NA,Data Analytics Analyst II,$27.86 - $29.44 Per Hour (Employer est.),NA,3.6,Edward-Elmhurst Health,"Skokie, IL",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,"We work closely with Enterprise Data Warehouse, Finance, Quality, Research, and clinical leadership teams, and have opportunities to use and develop novel……
Skills: Statistics, Power BI, Microsoft Access, Oracle, Business intelligence",NA
NA,"Senior Business Analyst, IT",$65K - $90K (Employer est.),NA,3.4,Healthmap Solutions,Remote,501 to 1000 Employees,--,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"Identify, create and facilitate process design changes by conducting business and systems process analysis and design at a complex level; focusing on quality……
Skills: Management, Data analysis skills, SQL, Analysis skills, Project management",NA
NA,Sr Data Governance Analyst,$52K - $89K (Employer est.),NA,3.2,NiSource,"Columbus, OH",5001 to 10000 Employees,1987,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),"3+ years of experience with databases and database structures including the ability to articulate data concepts between business-focused, functional, and……
Skills: Data analysis skills, Databases, Informatica",NA
NA,Data Analyst II,$71K - $106K (Glassdoor est.),NA,4.0,Massachusetts General Hospital(MGH),"Boston, MA",10000+ Employees,1811,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),"The Data Analyst II will be working directly under the supervision of Scott Hadland, MD, MPH, MS on various data-focused tasks including, but not limited to,……
Skills: Statistics, SAS, English, Microsoft Office, Stata",NA
NA,Senior Business Analyst-Remote,$76K - $137K (Employer est.),NA,3.7,Sentara Healthcare,"Richmond, VA",10000+ Employees,1888,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),"Coordination of analysis of current configuration state of Process Tools (EDM / QNXT) to align work efforts to address existing and future Encounters needs with……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Access, Tableau",NA
NA,Customer Engagement Data Analyst II,$63K - $78K (Employer est.),NA,4.3,GEMS - BP US SUPPLY,"Houston, TX",NA,NA,NA,NA,NA,NA,"As our Customer Engagement Data Analyst II, you will develop complex analytical tools for tracking performance across multiple business systems, including Sales……
Skills: Pricing, Power BI, Data mining, SQL, Customer segmentation",NA
NA,Senior Financial Data Analyst,$51K - $70K (Glassdoor est.),NA,4.6,Keurig Dr Pepper,"Frisco, TX",10000+ Employees,2018,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"As a Senior Financial Data Analyst, your primary responsibilities will be driven by interpreting data and creating reports, system reconciliations, driving……
Skills: Microsoft Powerpoint, Microsoft Excel, Tableau, SQL, Data analytics",NA
NA,Data Analyst - Senior,$83K - $125K (Glassdoor est.),NA,3.6,Analytic Solutions Group,"McLean, VA",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"Create, enhance, and maintain data visualizations using Tableau and other similar tools. Experience performing quantitative and qualitative analysis and……
Skills: Qualitative analysis, Tableau, Legal drafting, Quantitative analysis",NA
NA,Data Analyst IV,$73K - $110K (Glassdoor est.),NA,3.6,Health & Human Services Comm,"Austin, TX",10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Bachelor’s degree or equivalent in natural sciences, health sciences, social sciences, or related field. Drives the selection of data visualization tools, the……
Skills: System administration, Management, SAS, Customer service, Writing skills",NA
NA,Associate Business Intelligence Analyst,$5K (Employer est.),NA,3.1,Imprivata,"Waltham, MA",501 to 1000 Employees,2002,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"Leverage data to answer important business questions and inform real business decisions. Bachelor’s degree in Business Analytics, Mathematics, Economics/Finance……
Skills: Power BI, Microsoft Excel, Tableau, IT, Data visualization",NA
NA,Sr. Business Data Analyst,$76K - $86K (Employer est.),NA,3.1,New American Funding,United States,1001 to 5000 Employees,2003,Company - Private,Banking & Lending,Financial Services,$10+ billion (USD),"Are you excited to design and develop automated reports using industry leading tools like Power BI? Bachelor’s degree in business, Statistics, Computer Science,……
Skills: Computer science, Power BI, Business analysis, SQL, Analysis skills",NA
NA,Senior IT Data Analyst,$95K - $133K (Employer est.),NA,3.4,U.S. Silica Company,"Katy, TX",1001 to 5000 Employees,1900,Company - Public,Mining & Metals,"Energy, Mining & Utilities",$500 million to $1 billion (USD),"Adept at conveying technical concepts effectively to a non-technical audience. Bachelors' Degree in Information Systems, Computer Science, Data Science, or……
Skills: Computer science, Power BI, Oracle, Data structures, Microsoft SQL Server",NA
NA,Sr. Data Analyst,$90K - $130K (Employer est.),NA,4.0,Spruce Power,"Houston, TX",51 to 200 Employees,--,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,"Minimum of a Bachelor's degree or equivalent in computer science or STEM field. Reports to the Business Intelligence Manager and conducts advanced analysis of……
Skills: Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Azure",NA
NA,Sr. Data Analyst,$81K - $117K (Glassdoor est.),NA,4.4,R Square Analytics,"Atlanta, GA",1 to 50 Employees,2017,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,"Minimum Bachelor's degree required (Engineering, Math, Analytical field or Social Sciences required). Master's or Ph.D in Math, Statistics, Economics or an……
Skills: Microsoft Excel, R, Math, Machine learning, Attribution modeling",NA
NA,Senior Business and Data Analyst,$57K - $104K (Glassdoor est.),NA,2.6,"CyrusOne, LLC.","Dallas, TX",201 to 500 Employees,2000,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),"CyrusOne provides reasonable accommodation for qualified individuals with disabilities in accordance with the Americans with Disabilities Act (ADA) and any……
Skills: Yardi, Business analysis, Computer skills, Communication skills",NA
NA,Senior Data Analyst,$62K (Employer est.),NA,3.6,Shared Success Center LLC,"Eden Prairie, MN",10000+ Employees,1817,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),"This will involve developing strong expertise of all data models that exist, enough company and industry knowledge to develop meaningful insights with……
Skills: Computer science, Crystal Reports, Power BI, Oracle, Business intelligence",NA
NA,Data Analyst II - Data Governance,$50K - $72K (Glassdoor est.),NA,4.0,Cox Enterprises,"Atlanta, GA",10000+ Employees,1898,Company - Private,Information Technology Support Services,Information Technology,$10+ billion (USD),"The right candidate could also have a different combination, such as a master's degree and up to 2years' experience; or 6 years' experience in a related field.…
Skills: Power BI, Data modeling, Microsoft Excel, Tableau, Analysis skills",NA
NA,SR BI DATA ANALYST,$73K - $111K (Glassdoor est.),NA,3.9,Lakeview Loan Servicing,"Coral Gables, FL",Unknown,--,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,"Excellent communication and presentation skills, with the ability to effectively communicate findings to both technical and non-technical audiences.…
Skills: Power BI, Microsoft Excel, Business intelligence, SQL, Analysis skills",NA
NA,Senior Data Analyst,$48K - $72K (Glassdoor est.),NA,3.5,EXL Services,United States,10000+ Employees,1999,Company - Public,Business Consulting,Management & Consulting,$1 to $5 million (USD),"Pro-active in maintaining and increasing the teams and your own technical knowledge. Master’s or Bachelor’s degree in computer or related field.…
Skills: Performance tuning, Power BI, Azure, Big data, Spark",NA
NA,"Senior Data Analyst, Marketplaces",$99K - $128K (Employer est.),NA,3.3,Carvana,"Tempe, AZ",10000+ Employees,2013,Company - Public,Vehicle Dealers,Retail & Wholesale,Unknown / Non-Applicable,"Ability to communicate in an effective and efficient manner with a wide range of technical and non-technical stakeholders, including senior leaders.…
Skills: Power BI, Microsoft Excel, Customer service, Salesforce, Tableau",NA
NA,Senior Business Analyst,$100K - $120K (Employer est.),NA,4.1,Sunbelt-Solomon Solutions,"Temple, TX",1001 to 5000 Employees,--,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,"As a Senior Business Analyst specializing in manufacturing, you will play a crucial role in optimizing our business processes, driving efficiency, and……
Skills: Business intelligence, ERP systems, Business analysis, Data analysis skills, NetSuite",NA
NA,IT Data Analyst II (Modesto),$6K - $8K (Employer est.),NA,3.5,Golden Valley Heath Centers,"Modesto, CA",Unknown,1972,Company - Private,Hospitals & Health Clinics,Healthcare,Unknown / Non-Applicable,"Valid California driver’s license, vehicle insurance, reliable transportation and acceptable driving record. Bachelor’s degree in Computer Sciences, Management……
Skills: Management, Business intelligence, Data analysis skills, SQL, Analysis skills",NA
NA,Senior Healthcare Data Analyst,$6K - $8K (Employer est.),NA,4.1,CareJourney,"Arlington, VA",51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"Experience in business process analysis, data architecture design and development as well as the implementation of workflow enabled solutions.…
Skills: Statistics, Data center experience, Data mining, Medicare, SAS",NA
NA,2024 New Graduate (Political Science degree) for Technical Writer/Admin Analyst role,$100K - $105K (Employer est.),NA,5.0,"TERRESTRIS, LLC","Gainesville, VA",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"As a Technical Writer/Analyst, you will be responsible for conducting research, analyzing data, and providing contractor award winning technical writing on……
Skills: Microsoft Word, Microsoft Excel, Word processing, Writing skills, English",NA
NA,Senior Data Analyst,$86K - $118K (Glassdoor est.),NA,3.6,Novo Health Services,United States,501 to 1000 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),"NOVO’s regional healthcare linen facilities are HLAC accredited and operate with state-of-the-art processing equipment and processes. 401(k) w/Employer Match.…
Skills: Crystal Reports, Oracle, Microsoft SQL Server, Supervising experience, Software development",NA
NA,"Data Analyst III (SQL, SAS)",$6K - $9K (Employer est.),NA,3.7,Health Net,California,Unknown,1993,Subsidiary or Business Segment,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Education/Experience: Bachelor’s degree in business, economics, statistics, mathematics, actuarial science, public health, health informatics, healthcare……
Skills: Power BI, Data mining, Business intelligence, SAS, R",NA
